Pay Period,Employee Title,Employee Code,Region,Client Session ($),Client Session Hours,Revenue ($),Billable Hours,,Pay Period,Employee Code,Ratio of Client Sessions hr to Billabla hr
7/28/2023,Behavior Technician,3,Bay Area,483.08,19.17,1365.8,21.5,,7/28/2023,3,0.891627907
7/28/2023,Behavior Technician,51,Bay Area,446.33,16.5,831.6,16.5,,7/28/2023,51,1
7/28/2023,Behavior Technician,250,Central Valley,1405.2,67.17,3696.304,64.96,,7/28/2023,250,1.034020936
7/28/2023,Behavior Technician,308,Central Valley,355.53,16.93,730.8,14.82,,7/28/2023,308,1.142375169
7/28/2023,Behavior Technician,321,Central Valley,582.75,27.75,1678.6,27.41,,7/28/2023,321,1.012404232
7/28/2023,Behavior Technician,375,Georgia,1356.25,54.25,3280.84,54.5,,7/28/2023,375,0.995412844
7/28/2023,Behavior Technician,498,Ohio,605.01,28.81,1578.176,28.63,,7/28/2023,498,1.006287111
7/28/2023,Behavior Technician,512,Ohio,165,7.5,430.128,7.5,,7/28/2023,512,1
7/28/2023,Behavior Technician,542,Central Valley,1072.94,48.77,2282.6,44.66,,7/28/2023,542,1.092028661
7/28/2023,Behavior Technician,571,Georgia,1730.4,73.54,2257.008,41.47,,7/28/2023,571,1.773330118
7/28/2023,Behavior Technician,613,Georgia,676.7,33.5,1623.008,33.5,,7/28/2023,613,1
7/28/2023,Behavior Technician,661,Central Valley,471.02,21.41,1176,21.24,,7/28/2023,661,1.008003766
7/28/2023,Behavior Technician,685,Bay Area,1670.76,61.88,4603.8,62.41,,7/28/2023,685,0.991507771
7/28/2023,Behavior Technician,721,Pacific Northwest,1146.33,48.78,2173.024,46.75,,7/28/2023,721,1.04342246
7/28/2023,Behavior Technician,763,Southern California,548.25,25.5,1227.584,24.82,,7/28/2023,763,1.02739726
7/28/2023,Behavior Technician,797,Central Valley,422.72,19.32,1120,18.98,,7/28/2023,797,1.017913593
7/28/2023,Behavior Technician,815,Central Valley,218.8,10,435.4,7.75,,7/28/2023,815,1.290322581
